id,page_name,page_type
18012,Jean-Marc Ayrault,politician
18013,Bitchin' Kitchen,tvshow
18014,David Mundell MP,politician
18015,USFWS International Affairs,government
18016,"Embassy of Turkey, Washington D.C.",government
18017,David Seymour,politician
18018,Welcome to Sweden,tvshow
18019,Embajada de la República Argentina en Túnez,government
18020,Keskkonnaamet,government
18021,Christian Kern,politician
18022,Michael Vietz,politician
18023,Programa Melhor pra Você,tvshow
18024,NIH Record,government
18025,Pier Paolo Baretta,politician
18026,"Village of Schaumburg, Illinois Government",government
18027,Ekusher Bangladesh,company
18028,高金素梅(吉娃斯．阿麗),politician
18029,Virginie Duby-Muller,politician
18030,Great Grains,company
18031,Marion Gentges,politician
18032,U.S. Department of Commerce Office of Inspector General,government
18033,Microsoft Developer,company
18034,Le Directeur général des élections du Québec (DGEQ),government
18035,Norbert Brackmann,politician
18036,Otto Lederer,politician
18037,Tennessee Consolidated Retirement System,government
18038,The Voice : la plus belle voix,tvshow
18039,Californication,tvshow
18040,Groupon,company
18041,Tu Cara No Me Suena Todavía,tvshow
18042,AT&T Latino,company
18043,Disney,company
18044,Dubai Health Authority,government
18045,Project Greenlight,tvshow
18046,Nick Freitas,politician
18047,"India in Brazil (Consulate General of India, São Paulo)",government
18048,Park Hyatt,company
18049,Polský institut v Praze,government
18050,Cathay Pacific Airways,company
18051,Crunch México,company
18052,John-Paul Langbroek,politician
18053,Derek Thomas,politician
18054,"US Army Corps of Engineers, Buffalo District",government
18055,Web Therapy,tvshow
18056,Arlindo Chinaglia,politician
18057,Live From Daryl's House,tvshow
18058,Michael Cramer,politician
18059,Arbetsmiljöverket,government
18060,In The Raw,company
18061,Hidir Gürakar,politician
18062,NASA Jet Propulsion Laboratory,government
18063,Popeyes Louisiana Kitchen,company
18064,Report,tvshow
18065,Evandro Gussi,politician
18066,Embassy of the Netherlands in Albania,government
18067,Prüne Uruguay,company
18068,Kit Malthouse,politician
18069,Israel au Sénégal,government
18070,Kalam Nawaem كلام نواعم,tvshow
18071,Carlos Marun,politician
18072,Deputado Federal Vicentinho,politician
18073,Town of Amherst Emergency Services,government
18074,Honolulu Police Department (Official Site),government
18075,Consulado General del Perú en Santiago,government
18076,Embassy of the Republic of Armenia to Canada,government
18077,Jaime Méndez,politician
18078,"The Post-9/11 GI Bill, U.S. Department of Veterans Affairs",government
18079,PIB Kolkata,government
18080,Bernd Siebert - Mitglied des Bundestages,politician
18081,Sean Kyne TD,politician
18082,T.C. Kiev Büyükelçiliği/Посольство Республіки Туреччина в Україні,government
18083,U.S. Embassy Djibouti,government
18084,AirAsia,company
18085,Delegation of the European Union to Namibia,government
18086,The Hills SES,government
18087,SEDATU,government
18088,Connect NC,government
18089,Don MacIntyre,politician
18090,Wayne Swan,politician
18091,Ellen Rosenblum,politician
18092,Bundesamt für Sicherheit in der Informationstechnik,government
18093,"6th Squadron, 6th Cavalry - Six Shooters",government
18094,T.C. Tiflis Büyükelçiliği,government
18095,"City of Clovis, California - Government",government
18096,Best Time Ever With Neil Patrick Harris,tvshow
18097,Eruviel Ávila,politician
18098,Being Mary Jane,tvshow
18099,Giant Malaysia,company
18100,Matt McEachan,politician
18101,Kropka nad i,tvshow
18102,Cat Smith MP,politician
18103,Alerta Máxima CHV,tvshow
18104,Julie Cooper MP,politician
18105,European Union in Indonesia,government
18106,Rick Strankman,politician
18107,Congressman Jared Polis,politician
18108,Infojus,government
18109,Kepler and K2 Missions,government
18110,Carpe Diem Tea,company
18111,Harald Vilimsky,politician
18112,KLM Malaysia,company
18113,Arizona State Archives,government
18114,Viking River Cruises,company
18115,How I Met Your Mother,tvshow
18116,Telenovela,tvshow
18117,Försvarsmaktens tekniska skola,government
18118,Queensland Ambulance Service (QAS),government
18119,Alexia Foods,company
18120,San Mateo County Health System,government
18121,T.C. Hamburg Başkonsolosluğu,government
18122,Ladies of London,tvshow
18123,Haut commissariat du Canada au Royaume uni,government
18124,501st Combat Support Wing,government
18125,"העתודה האקדמית של צה""ל",government
18126,Préfet de la Corrèze,government
18127,PATIOTuerca.com,company
18128,US Consulate Toronto,government
18129,Gary Bodeau,politician
18130,Aflac,company
18131,"City of Montgomery, Alabama Government",government
18132,Today Tonight Adelaide,tvshow
18133,Balanço Geral,tvshow
18134,INFINITI,company
18135,Pierfrancesco Maran,politician
18136,Albert Rösti,politician
18137,RTL GP,tvshow
18138,Worldcard,company
18139,Inspectoratul General pentru Imigrari,government
18140,Bosch Professional Power Tools and Accessories,company
18141,Pia Olsen Dyhr,politician
18142,adidas Football,company
18143,Marcela Torres Peimbert,politician
18144,OP,company
18145,Tom Brake,politician
18146,US National Weather Service Norman Oklahoma,government
18147,João Pinho de Almeida,politician
18148,Windows,company
18149,Ministerul Afacerilor Interne al Republicii Moldova,government
18150,KIMY,company
18151,NSW Electoral Commission,government
18152,Tom Cotton,politician
18153,National Institute of Allergy and Infectious Diseases (NIAID),government
18154,"National Health Portal, INDIA",government
18155,Angela Merkel,politician
18156,Linda Fabiani MSP for East Kilbride,politician
18157,En la tuya o en la mía,tvshow
18158,MAPFRE,company
18159,Texas Comptroller of Public Accounts,government
18160,CNN Choque de Opiniones,tvshow
18161,John Stevenson MP,politician
18162,Mountain Dew,company
18163,e.on,company
18164,Louis A. Johnson VA Medical Center,government
18165,Giọng Hát Việt Nhí,tvshow
18166,Tommy Sheppard MP,politician
18167,Bones,tvshow
18168,10th Mountain Division,government
18169,Armani Exchange,company
18170,Ministério das Relações Exteriores,government
18171,Embajada Alemana en Guinea Ecuatorial,government
18172,Garuda Indonesia,company
18173,Microsoft Developer,company
18174,Bữa trưa vui vẻ,tvshow
18175,Alabama Crimson Tide on Fanatics,company
18176,Christoph Zimmermann- Unsere Zukunft ist Jetzt,politician
18177,Pão de Açúcar,company
18178,Washington County Sheriff's Office,government
18179,USS PONCE AFSB 15,government
18180,Carter's,company
18181,Udo Schiefner,politician
18182,Rt. Hon. Tobias Ellwood MP,politician
18183,GRIP - Das Motormagazin,tvshow
18184,Chupa Chups,company
18185,الصفحة الرسمية لوزارة الداخلية,government
18186,Joelle جويل,tvshow
18187,Veterans Affairs Canada,government
18188,René Röspel,politician
18189,Jan E. Jørgensen,politician
18190,Darshan Kang MP,politician
18191,Pyithu Hluttaw - ျပည္သူ႔လႊတ္ေတာ္,government
18192,Goles de Europa,tvshow
18193,Cinnamon Toast Crunch,company
18194,62d Signal Battalion,government
18195,Alsace,company
18196,Simon Busuttil,politician
18197,Drury Hotels,company
18198,Karl-Josef Laumann,politician
18199,Czarno na białym TVN24,tvshow
18200,Israel in the Caribbean,government
18201,Jean-Denis Girard,politician
18202,太魯閣國家公園,government
18203,The Handmade Home,company
18204,Valrhona Chocolate,company
18205,د.مصطفى الكبيسي,politician
18206,Amazon.co.uk,company
18207,David Southwick,politician
18208,KPLC 7 News Sunrise,tvshow
18209,Starck,company
18210,Jornal da Noite,tvshow
18211,Brunswick County Board of Elections,government
18212,Kjersti Stenseng,politician
18213,הסניגוריה הציבורית,government
18214,Embassy of the Netherlands in Slovenia,government
18215,Christian Wasserfallen,politician
18216,"AFOSR, Air Force Office of Scientific Research",government
18217,Secretary of State Dennis Richardson,government
18218,Abarth,company
18219,Christa Markwalder,politician
18220,Josef Rief,politician
18221,"2nd Stryker Brigade Combat Team, 2nd Infantry Division",government
18222,Wadih Damous,politician
18223,Enrico Rossi,politician
18224,Esra Limbacher,politician
18225,Jon Hoadley,politician
18226,5th Battalion 5th Air Defense Artillery Regiment,government
18227,David Douillet,politician
18228,Time Trax,tvshow
18229,The Voice - Magyarország hangja,tvshow
18230,Embassy of Belgium in Dublin,government
18231,Bonafont,company
18232,Orient Shield,government
18233,Abhishek Banerjee,politician
18234,Kid President,politician
18235,The Mick,tvshow
18236,Dubai Electricity and Water Authority - DEWA,government
18237,MAPFRE,company
18238,T.C. Melburn Başkonsolosluğu,government
18239,DanActive,company
18240,MARIO HERNANDEZ,company
18241,Lucas Vergilio,politician
18242,24 Oras Weekend,tvshow
18243,Matrix Professional Haircare & Color,company
18244,Michelle O'Byrne MP,politician
18245,Museo Nazionale Archeologico di Gioia del Colle,government
18246,Mountain Dew PK,company
18247,Gareth Hughes MP,politician
18248,Shimano-MTB,company
18249,Tulipán,company
18250,Dagne Dover,company
18251,Chupa Chups,company
18252,Nescafé Sobre,company
18253,Türkiye Bursları,government
18254,Wyndham Extra Holidays,company
18255,MAPFRE Insurance,company
18256,Popsicle,company
18257,Deutsche Bahn Personenverkehr,company
18258,Swiss International Air Lines,company
18259,MOIA,company
18260,Janelle Saffin,politician
18261,Jiří Pospíšil,politician
18262,Northrop Grumman Corporation,company
18263,Kereta Api Kita,company
18264,Consulate General of Belgium in Istanbul,government
18265,Kusmi Tea,company
18266,US National Weather Service Western Region HQ,government
18267,adidas Originals,company
18268,Land O'Lakes,company
18269,NOAA HMT - West,government
18270,US National Weather Service Caribou ME,government
18271,Doritos,company
18272,Indomaret,company
18273,Petplan Pet Insurance - North America,company
18274,Parmigiano Reggiano,company
18275,Vodafone Careers,company
18276,Dieter Stier,politician
18277,Inmetro,government
18278,Entidad Binacional Yacyretá,government
18279,Tigo Costa Rica,company
18280,Prefeitura de Curitiba,government
18281,TasALERT,government
18282,Sven Schulze,politician
18283,Get Cyber Safe,government
18284,JAPAN AIRLINES (JAL),company
18285,Embassy of Denmark in Ukraine,government
18286,Rosane Ferreira,politician
18287,easyJet,company
18288,U.S. Embassy Bridgetown,government
18289,Israel in Los Angeles,government
18290,Chicago Med,tvshow
18291,dineout,company
18292,Peppa Pig,tvshow
18293,McDonald's Luxembourg,company
18294,Nederland en Crisisgebieden,government
18295,蔡煌瑯,politician
18296,Consulat général de France à Tanger,government
18297,Cảm nhận Nhật Bản,government
18298,Starbucks Nederland,company
18299,André de Paula,politician
18300,Secretaría de Cultura,government
18301,75th Innovation Command-Army Reserve,government
18302,Jeroen Lenaers,politician
18303,Jaguar,company
18304,Vibrant Gujarat,government
18305,Indonesia's Got Talent,tvshow
18306,Start Talking. Stop HIV.,government
18307,T.C. Muskat Büyükelçiliği,government
18308,Artur Dunin - Biuro Poselskie,politician
18309,MK Muneer,politician
18310,לפני החדשות,tvshow
18311,Kevin Byrne,politician
18312,Matalan,company
18313,Noches Con Platanito,tvshow
18314,Embajada de Francia en Ecuador,government
18315,Charms Blow Pops,company
18316,ODI Grips,company
18317,Haridus- ja Teadusministeerium,government
18318,G20 Argentina,government
18319,Tangamanga,company
18320,Embajada del Perú en España,government
18321,Príncipe Marinela,company
18322,Igor Šoltes,politician
18323,Toinho Carolino,politician
18324,Menino de Ouro,tvshow
18325,Chico D'Angelo,politician
18326,"Institute of Technical Education, Singapore",government
18327,Michael Grosse-Brömer,politician
18328,Jean-Yves Le Bouillonnec,politician
18329,"New Zealand Embassy, Turkey - Yeni Zelanda Türkiye Büyükelçiliği",government
18330,Nasdaq Tallinn,company
18331,Visita la Repubblica Ceca,government
18332,Rafael Pacchiano Alamán,politician
18333,Salesforce,company
18334,Drop Dead Diva,tvshow
18335,Stephen Paul MdL,politician
18336,101st Airborne Division (Air Assault) Band,government
18337,Visit Czech Republic,government
18338,Eva Högl,politician
18339,NESTEA,company
18340,Prefeitura Regional Vila Prudente,government
18341,Babies R Us UK,company
18342,Good Times,tvshow
18343,Entourage,tvshow
18344,Restaurant Startup,tvshow
18345,How to Make It in America,tvshow
18346,MAKRO ČR,company
18347,Samsung Mobile Levant,company
18348,Permanent Delegation of Turkey to the European Union,government
18349,24 Oras,tvshow
18350,Schlag den Henssler,tvshow
18351,Bernd Althusmann,politician
18352,Movinga,company
18353,Malcolm Allen,politician
18354,KOFILA,company
18355,Markus Rinderspacher,politician
18356,Rita Saffioti MLA,politician
18357,La France a un incroyable talent,tvshow
18358,Calum Kerr SNP,politician
18359,US National Weather Service Alaska,government
18360,Dell EMC,company
18361,Alarm für Cobra 11,tvshow
18362,Claro Honduras,company
18363,Spartacus,tvshow
18364,發展局 Development Bureau,government
18365,Galaxus,company
18366,Taeq,company
18367,Viddsee,company
18368,Eunice Kennedy Shriver National Institute of Child Health and Human Development,government
18369,Panorama,tvshow
18370,Angela Lück,politician
18371,Harvey Norman New Zealand,company
18372,Institut français d'Égypte,government
18373,Bali Intimates,company
18374,MakerBot,company
18375,US National Weather Service Newport/Morehead City NC,government
18376,Istituto Polacco di Roma,government
18377,Sony Philippines,company
18378,Patricia Ceysens,politician
18379,Vanderpump Rules,tvshow
18380,Good Morning Utah,tvshow
18381,Skin Wars,tvshow
18382,Dave Turcotte,politician
18383,106.9 Birmingham's Eagle,company
18384,邱鏡淳,politician
18385,Sunny The Egg,company
18386,Ruperto Godoy,politician
18387,Embajada de Finlandia Lima - Suomen suurlähetystö Lima,government
18388,Mitch McConnell,politician
18389,Dole,company
18390,"3rd Battalion, 34th Infantry Regiment",government
18391,Pensionsmyndigheten,government
18392,China Eastern Airlines,company
18393,Wade Noonan MP,politician
18394,Orange,company
18395,Visit MY Japan,government
18396,ReiseSalon,company
18397,RTL Exclusiv,tvshow
18398,Lister Hill National Center for Biomedical Communications,government
18399,Curver,company
18400,Azeez Rahim,politician
18401,Paul Uppal,politician
18402,立法委員 黃國昌,politician
18403,Samsung Mobile Latinoamérica,company
18404,Ministry of Health & Prevention,government
18405,Bosch プロフェッショナル 電動工具とアクセサリー,company
18406,Mary Landrieu,politician
18407,Adina Vălean,politician
18408,Garmin Fish & Hunt,company
18409,Target,company
18410,Embassy of Finland in Abu Dhabi - Suomen suurlähetystö Abu Dhabissa,government
18411,"Commerzbank Optionsscheine, Zertifikate und ETFs",company
18412,Junior Mints,company
18413,Tracker Boats,company
18414,Grandiosa,company
18415,Ruth Dyson,politician
18416,The Wendy Williams Show,tvshow
18417,Cites TV3,tvshow
18418,El Gordo y La Flaca,tvshow
18419,Irish Spring,company
18420,Murder in the First,tvshow
18421,Whose Line Is It Anyway?,tvshow
18422,Jens Löw,politician
18423,"Karen Vecchio, Member of Parliament",politician
18424,Arizona Commerce Authority,government
18425,Ronja Kemmer,politician
18426,Thomas Stelzer,politician
18427,The Voice Global,tvshow
18428,Abarth,company
18429,Oficinas Culturais,government
18430,J2O,company
18431,ENERGIA 97.9,company
18432,U.S. Comptroller of the Currency,government
18433,Rasmus Nordqvist,politician
18434,Jewell Jones for State Representative,politician
18435,Ion ȘTEFAN,politician
18436,Mavis Discount Tire,company
18437,Vita Coco Kids,company
18438,Big Love,tvshow
18439,The Haves and the Have Nots,tvshow
18440,Ambasada României în Regatul Suediei,government
18441,Quinta Colonna,tvshow
18442,Sargento Cheese,company
18443,Norbert Kartmann,politician
18444,NIOSH Health Hazard Evaluation Program,government
18445,McDonald's Russia,company
18446,BBC Antiques Roadshow,tvshow
18447,5 Para a Meia Noite,tvshow
18448,Philadelphia District U.S. Army Corps of Engineers,government
18449,Domino's Pizza UK,company
18450,알쓸신잡,tvshow
18451,Ford Polska,company
18452,The Dead Files,tvshow
18453,Carlos Paparoni,politician
18454,Pendills and Sullivan Creek National Fish Hatchery,government
18455,Starbucks Norge,company
18456,Leonardo Picciani,politician
18457,NYPD 122 Precinct,government
18458,Miguel Castro Reynoso,politician
18459,Triumph,company
18460,N'OUBLIEZ PAS LES PAROLES (OFFICIEL),tvshow
18461,ESET,company
18462,CONICET Dialoga,government
18463,OakleyBrasil,company
18464,Prefeitura de São Paulo,government
18465,Franken-Tatort,tvshow
18466,Arnott's Tim Tam,company
18467,Union européenne en Mauritanie,government
18468,Andrew Constance MP,politician
18469,Colony USA,tvshow
18470,Michael Levitt MP,politician
18471,The Age of Happiness,company
18472,Sylvie Boucher,politician
18473,Deichmann España,company
18474,Gas Natural Fenosa,company
18475,"God, Guns & Automobiles",tvshow
18476,Samsung,company
18477,Cemile Giousouf,politician
18478,街角遇到wow,tvshow
18479,Balitang Bisdak,tvshow
18480,Tuenti Ecuador,company
18481,Xerox,company
18482,Virginia National Guard,government
18483,Hoang Mai,politician
18484,Othmar Karas,politician
18485,Jon Georg Dale,politician
18486,"India in Iceland (Embassy of India, Reykjavik)",government
18487,Esperanza Aguirre,politician
18488,ITV Anglia,tvshow
18489,Gwendolyn Rutten,politician
18490,Jornal do SBT,tvshow
18491,Espai Terra,tvshow
18492,House Judiciary Committee,government
18493,SugarTwin Canada,company
18494,Almdudler,company
18495,West Melbourne Police Department,government
18496,Maksu- ja Tolliamet,government
18497,John Alexander,politician
18498,İsrail Türkiye'de,government
18499,The Bachelorette Australia,tvshow
18500,Werner Kogler,politician
18501,"National Historic Sites in Quebec, Parks Canada",government
18502,Microsoft in Business,company
18503,Superintendencia de Industria y Comercio de Colombia,government
18504,Bosch Ferramentas Elétricas Profissionais e Acessórios,company
18505,Moche,company
18506,Ducati,company
18507,atraveo - min semesterlägenhet,company
18508,وزارة المرأة و الأسرة و الطفولة,government
18509,國稅局嘉義市分局,government
18510,No Frills,company
18511,902nd Military Intelligence Group,government
18512,NOAA Digital Coast,government
18513,Fernando Haddad,politician
18514,فرماندهی مرکزی ایالات متحده,government
18515,Secretaría de Turismo del Estado de México,government
18516,Sun-Maid Girl,company
18517,German Information Centre South Asia,government
18518,Defense Health Agency,government
18519,Lachine Canal,government
18520,SanDisk,company
18521,Chao-Fu Wu,politician
18522,SuperStar,tvshow
18523,Ford New Zealand,company
18524,Hellmann's,company
18525,Q+A,tvshow
18526,BTWIN,company
18527,New York State Department of Motor Vehicles,government
18528,Marko Cortés,politician
18529,"Eat Healthy, Be Active NYC",government
18530,Chips Ahoy!,company
18531,Central 1746 de Atendimento ao Cidadão,government
18532,საქართველოს მთავრობა | Government of Georgia,government
18533,L'OCCITANE en Provence,company
18534,Carolyn Bennett,politician
18535,A Healthy You & Carol Alt,tvshow
18536,كندا في الإمارات العربية المتحدة,government
18537,VetoViolence,government
18538,Yeda Crusius,politician
18539,The F Word,tvshow
18540,Czech Airlines,company
18541,CONSAR,government
18542,Altra Running,company
18543,Sérgio Souza,politician
18544,Les Ambassadeurs,company
18545,Los Angeles FD,government
18546,יריב לוין - Yariv Levin,politician
18547,Maki Ortiz,politician
18548,ЦЕНТРАЛЬНОЕ КОМАНДОВАНИЕ США,government
18549,NSDC National Skill Development Corporation,government
18550,Fort Indiantown Gap,government
18551,Pepe Pasteles,politician
18552,Bam's Unholy Union,tvshow
18553,Embajada de los Estados Unidos en Uruguay,government
18554,Stephen Gethins MP,politician
18555,Kaufland Romania,company
18556,Badan Nasional Penanggulangan Bencana,government
18557,Yahoo奇摩,company
18558,訊連科技CyberLink,company
18559,Castorama Polska,company
18560,F-Secure,company
18561,Ted Falk,politician
18562,Danish Representation in Ramallah,government
18563,Vodafone Greece,company
18564,Campus France Brasil,government
18565,Augustin Jianu,politician
18566,Washington State Department of Corrections,government
18567,Mark Williams,politician
18568,Ambassade de France en Ukraine,government
18569,MTN Cyprus,company
18570,Ultra Buenos Aires,company
18571,Vodacom,company
18572,草地狀元,tvshow
18573,NYC Service,government
18574,João Leão,politician
18575,Veet Ecuador,company
18576,WSB-TV Sports Zone,tvshow
18577,European Union in Russia,government
18578,Hermann Schiavone,politician
18579,Daniel Schranz,politician
18580,"British Embassy, Madrid",government
18581,Birdie NYC,government
18582,Ambassade du Canada en République démocratique du Congo,government
18583,Big Brother Suomi,tvshow
18584,Tiempo de Leer,tvshow
18585,Amuse Inc.,company
18586,Pasion Prohibida,tvshow
18587,Traian Băsescu,politician
18588,Carrefour UAE,company
18589,"Parlamentul European, Biroul de Informare în Romania",government
18590,SoundOFF Nation,tvshow
18591,Stanisław Karczewski,politician
18592,RTL Late Night,tvshow
18593,Telefónica del Perú,company
18594,Unser Bayern,government
18595,邱志偉,politician
18596,L'OCCITANE en Provence,company
18597,Prefeitura do Recife,government
18598,Le SAV d'Omar et Fred,tvshow
18599,The Brink,tvshow
18600,André Moura,politician
18601,Alberto Fraga,politician
18602,LOVE/HATE,tvshow
18603,Big Brother Australia,tvshow
18604,Grand Prairie Police,government
18605,Representação da Embaixada dos Estados Unidos em Bissau,government
18606,VA Long Beach Healthcare System,government
18607,Elvan Korkmaz,politician
18608,Sophie Hæstorp Andersen,politician
18609,José Luiz Penna,politician
18610,Camp Roberts Installation Services,government
18611,ABB,company
18612,Daniel Scioli,politician
18613,Mossos d'Esquadra. Generalitat de Catalunya,government
18614,Embajada Real de Dinamarca en Santiago de Chile,government
18615,PMO India,government
18616,Hayes & Jarvis,company
18617,Nicola Caputo,politician
18618,Bubbaloo,company
18619,NSW SES - Snowy River Unit,government
18620,Carrefour Argentina,company
18621,Microsoft Developer,company
18622,Elena Bastidas,politician
18623,وزارت امور داخله  -  د کورنیو چارو وزارت,government
18624,Famous,tvshow
18625,Konni Burton,politician
18626,Gúr Nándor,politician
18627,Embassy of Finland in Nairobi - Suomen suurlähetystö Nairobi,government
18628,Finansdepartementet (Norge),government
18629,Orlando VA Medical Center,government
18630,Asiacell,company
18631,HC Strache,politician
18632,Choice Hotels,company
18633,John Rafferty,politician
18634,666 Park Avenue,tvshow
18635,Moore Fire Department,government
18636,Cr Andrew Wines,politician
18637,Catfish: The TV Show,tvshow
18638,Cooper Barrett's Guide to Surviving Life,tvshow
18639,Mulberry,company
18640,Making the Band,tvshow
18641,US National Weather Service Seattle Center Weather Service Unit,government
18642,L'OCCITANE en Provence,company
18643,Embassy of Canada in Venezuela,government
18644,Smith's Food and Drug Stores,company
18645,CAPE  (Center for the Army Profession and Ethic),government
18646,Beltrami County Emergency Management,government
18647,David Mehan MP,politician
18648,Svend Thorhauge,politician
18649,Durex,company
18650,Teen Mom 3,tvshow
18651,Adam Vaughan,politician
18652,"Ministry of Defence, Government of India",government
18653,Traian Ungureanu,politician
18654,Senador Adolfo Romero Lainas,politician
18655,Defense TV,government
18656,Lawrence Springborg MP,politician
18657,7 Lá,tvshow
18658,Sisterhood of Hip Hop,tvshow
18659,南區國稅局,government
18660,Heimatflimmern,tvshow
18661,The Real Housewives of Beverly Hills,tvshow
18662,Stefan Thielen,politician
18663,11teamsports,company
18664,Sprint,company
18665,歐洲經貿辦事處 European Economic and Trade Office (EETO),government
18666,Embajada de Bélgica en Buenos Aires,government
18667,Ron Johnson,politician
18668,Kwanza Hall,politician
18669,Ministère de l’Enseignement supérieur et de la Formation professionnelle,government
18670,ABB,company
18671,Angry Boys on HBO,tvshow
18672,IDFG Salmon Region,government
18673,NSW SES Manly Unit,government
18674,Chupa Chups,company
18675,Homebase,company
18676,eToro,company
18677,US National Weather Service Hanford California,government
18678,대한민국 고용노동부,government
18679,Министарство за европске интеграције,government
18680,Deutsche Botschaft Minsk  Пасольства Германіі ў Мінску,government
18681,M&M's Nederland,company
18682,Embassy of Switzerland in Uzbekistan,government
18683,Laura Puppato,politician
18684,Jon Krause MP,politician
18685,Sybrand Buma,politician
18686,Blood & Oil,tvshow
18687,La vraie nature,tvshow
18688,MDR selbstbestimmt,tvshow
18689,Gobierno de la Provincia de Buenos Aires,government
18690,Stefania Pezzopane,politician
18691,Nestlé Breakfast Cereals Thailand,company
18692,Australia in Micronesia,government
18693,Microsoft Imagine,company
18694,Breaking Bad,tvshow
18695,世間情,tvshow
18696,Nina Warken,politician
18697,Memet Kilic,politician
18698,I'M A CELEBRITY... GET ME OUT OF HERE!,tvshow
18699,Delta Vacations,company
18700,GIORDANO,company
18701,Préfet de la Creuse,government
18702,FlySAA Kenya,company
18703,Ministerio de Salud y Protección Social,government
18704,CalPERS,government
18705,Italika,company
18706,Jean Lassalle,politician
18707,Programa Que Tiempo tan Feliz,tvshow
18708,YETI,company
18709,Wingate by Wyndham,company
18710,Digicel,company
18711,WDR Lokalzeit aus Aachen,tvshow
18712,Prefeitura de Contagem,government
18713,Investigative Documentaries,tvshow
18714,"EU to Barbados, Eastern Caribbean States, the OECS, Caricom & Cariforum",government
18715,Lenovo Indonesia,company
18716,Omaze,company
18717,Abu Dhabi Digital Government,government
18718,Community Fire Units - Fire & Rescue NSW,government
18719,IHOP,company
18720,ElPozo Alimentación,company
18721,U.S. Department of State - Careers,government
18722,NYS Department of Civil Service,government
18723,Volkswagen,company
18724,BBC Spotlight,tvshow
18725,National Eye Health Education Program (NEHEP),government
18726,Javier Maroto,politician
18727,Agustín Garzón,politician
18728,E-Government Center Moldova,government
18729,Damien ABAD,politician
18730,Georgia Department of Behavioral Health and Developmental Disabilities,government
18731,Sezgin Tanrıkulu,politician
18732,Leo Varadkar T.D.,politician
18733,momo購物網,company
18734,U.S. Forest Service - Sequoia National Forest,government
18735,Sigma Alimentos,company
18736,The City Of Ann Arbor - Government,government
18737,Nestlé MUNCH,company
18738,Ready for Love,tvshow
18739,Margaret Fitzherbert MLC,politician
18740,Finnair,company
18741,Marisa Glave,politician
18742,Mark Spencer,politician
18743,SaskParks,government
18744,Peace Corps,government
18745,Jens Bitzka,politician
18746,대한민국 기획재정부,government
18747,Pacific Resilience,government
18748,Paiz Guatemala,company
18749,"India in China (Consulate General of India, Hong Kong)",government
18750,François Baroin,politician
18751,Thomas Mann MEP,politician
18752,Conservatório de Tatuí,government
18753,Turkish Airlines,company
18754,The Alliance for Solar Choice,company
18755,Omar Rivero,politician
18756,Durex,company
18757,Ncell,company
18758,Sport Chek,company
18759,Delsa Solórzano,politician
18760,Dagoba Organic Chocolate,company
18761,Polizei NRW Mönchengladbach,government
18762,Digital India,government
18763,Hans-Werner Kammer,politician
18764,Jan Hamáček,politician
18765,Good Game,tvshow
18766,Lufthansa,company
18767,Petr Fiala,politician
18768,Al Jazeera World,tvshow
18769,駐日オランダ大使館 Embassy of the Netherlands in Japan,government
18770,Anti-Discrimination Board of NSW,government
18771,Secretaría del Trabajo y Previsión Social,government
18772,Toshiba,company
18773,"Sabine Dittmar, MdB",politician
18774,Susanne Leutenegger Oberholzer,politician
18775,Denis Naughten,politician
18776,Fotolia,company
18777,3rd Infantry Division,government
18778,Forţele Aeriene Române,government
18779,Ministère de la Justice Canada,government
18780,Quotidien avec Yann Barthès,tvshow
18781,Alpina,company
18782,Marc Miller,politician
18783,Governo do Estado do Paraná,government
18784,FlySAA,company
18785,公視 聽聽看,tvshow
18786,Polizei NRW Karriere,government
18787,India Food Network,company
18788,Vinyl,tvshow
18789,Sergio Massa,politician
18790,Virgilio Caballero,politician
18791,Ford Italia,company
18792,Fernando Yunes Márquez,politician
18793,HEMA,company
18794,Machete Mfg,company
18795,GT Bicycles,company
18796,Jumeirah,company
18797,Cem Özdemir,politician
18798,Moppi,tvshow
18799,Embassy of Canada to Côte d'Ivoire and Liberia,government
18800,Portlandia,tvshow
18801,KFC,company
18802,Bienvenue à la ferme,company
18803,Soy Vay,company
18804,宋楚瑜找朋友,politician
18805,Maryland Emergency Management Agency (MEMA),government
18806,10th Support Group,government
18807,Aile ve Sosyal Politikalar Bakanlığı,government
18808,NESCAFÉ Dolce Gusto US,company
18809,Wiko,company
18810,Senate GOP,government
18811,Goody Good Stuff,company
18812,Eneko Goia,politician
18813,e.on,company
18814,Билайн,company
18815,Supercheap Auto,company
18816,ALSA,company
18817,Malaysia Airlines,company
18818,Mike Eman,politician
18819,Niels Annen,politician
18820,Grotte di Catullo,government
18821,Community,tvshow
18822,Les Reines du Shopping,tvshow
18823,All My Children,tvshow
18824,Assemblyman Tom Abinanti,politician
18825,U.S. Trade and Development Agency (USTDA),government
18826,Consulate General of Russia in San Francisco,government
18827,Ambasada României la Varşovia,government
18828,New York State Office for People With Developmental Disabilities,government
18829,True Life,tvshow
18830,Unox,company
18831,Falabella Colombia,company
18832,HiLo School,company
18833,West Palm Beach VA Medical Center,government
18834,Pressed Juicery,company
18835,Ministerul Tineretului și Sportului-România,government
18836,Proud Parenting,company
18837,Gatorade Philippines,company
18838,IEDM.com,company
18839,Hugo Leal,politician
18840,GMA Drama,tvshow
18841,"10th Engineer Battalion, 1st ABCT, 3rd ID",government
